2026-03-10 22:31:49 startup archives unpack
2026-03-10 22:31:49 install readline-common:all <none> 8.2-6
2026-03-10 22:31:49 status half-installed readline-common:all 8.2-6
2026-03-10 22:31:49 status unpacked readline-common:all 8.2-6
2026-03-10 22:31:49 install openssl:amd64 <none> 3.5.4-1~deb13u2
2026-03-10 22:31:49 status half-installed openssl:amd64 3.5.4-1~deb13u2
2026-03-10 22:31:49 status unpacked openssl:amd64 3.5.4-1~deb13u2
2026-03-10 22:31:49 install ca-certificates:all <none> 20250419
2026-03-10 22:31:49 status half-installed ca-certificates:all 20250419
2026-03-10 22:31:49 status unpacked ca-certificates:all 20250419
2026-03-10 22:31:49 install libgpg-error0:amd64 <none> 1.51-4
2026-03-10 22:31:49 status triggers-pending libc-bin:amd64 2.41-12+deb13u1
2026-03-10 22:31:49 status half-installed libgpg-error0:amd64 1.51-4
2026-03-10 22:31:49 status unpacked libgpg-error0:amd64 1.51-4
2026-03-10 22:31:49 install libgcrypt20:amd64 <none> 1.11.0-7
2026-03-10 22:31:49 status half-installed libgcrypt20:amd64 1.11.0-7
2026-03-10 22:31:49 status unpacked libgcrypt20:amd64 1.11.0-7
2026-03-10 22:31:49 install gpgv:amd64 <none> 2.4.7-21+deb13u1+b1
2026-03-10 22:31:49 status half-installed gpgv:amd64 2.4.7-21+deb13u1+b1
2026-03-10 22:31:49 status unpacked gpgv:amd64 2.4.7-21+deb13u1+b1
2026-03-10 22:31:49 install libbrotli1:amd64 <none> 1.1.0-2+b7
2026-03-10 22:31:49 status half-installed libbrotli1:amd64 1.1.0-2+b7
2026-03-10 22:31:50 status unpacked libbrotli1:amd64 1.1.0-2+b7
2026-03-10 22:31:50 install libunistring5:amd64 <none> 1.3-2
2026-03-10 22:31:50 status half-installed libunistring5:amd64 1.3-2
2026-03-10 22:31:50 status unpacked libunistring5:amd64 1.3-2
2026-03-10 22:31:50 install libidn2-0:amd64 <none> 2.3.8-2
2026-03-10 22:31:50 status half-installed libidn2-0:amd64 2.3.8-2
2026-03-10 22:31:50 status unpacked libidn2-0:amd64 2.3.8-2
2026-03-10 22:31:50 install libffi8:amd64 <none> 3.4.8-2
2026-03-10 22:31:50 status half-installed libffi8:amd64 3.4.8-2
2026-03-10 22:31:50 status unpacked libffi8:amd64 3.4.8-2
2026-03-10 22:31:50 install libp11-kit0:amd64 <none> 0.25.5-3
2026-03-10 22:31:50 status half-installed libp11-kit0:amd64 0.25.5-3
2026-03-10 22:31:50 status unpacked libp11-kit0:amd64 0.25.5-3
2026-03-10 22:31:50 install libtasn1-6:amd64 <none> 4.20.0-2
2026-03-10 22:31:50 status half-installed libtasn1-6:amd64 4.20.0-2
2026-03-10 22:31:50 status unpacked libtasn1-6:amd64 4.20.0-2
2026-03-10 22:31:50 install libgnutls30t64:amd64 <none> 3.8.9-3+deb13u2
2026-03-10 22:31:50 status half-installed libgnutls30t64:amd64 3.8.9-3+deb13u2
2026-03-10 22:31:50 status unpacked libgnutls30t64:amd64 3.8.9-3+deb13u2
2026-03-10 22:31:50 install libkrb5support0:amd64 <none> 1.21.3-5
2026-03-10 22:31:50 status half-installed libkrb5support0:amd64 1.21.3-5
2026-03-10 22:31:50 status unpacked libkrb5support0:amd64 1.21.3-5
2026-03-10 22:31:50 install libcom-err2:amd64 <none> 1.47.2-3+b7
2026-03-10 22:31:50 status half-installed libcom-err2:amd64 1.47.2-3+b7
2026-03-10 22:31:50 status unpacked libcom-err2:amd64 1.47.2-3+b7
2026-03-10 22:31:50 install libk5crypto3:amd64 <none> 1.21.3-5
2026-03-10 22:31:50 status half-installed libk5crypto3:amd64 1.21.3-5
2026-03-10 22:31:50 status unpacked libk5crypto3:amd64 1.21.3-5
2026-03-10 22:31:50 install libkeyutils1:amd64 <none> 1.6.3-6
2026-03-10 22:31:50 status half-installed libkeyutils1:amd64 1.6.3-6
2026-03-10 22:31:50 status unpacked libkeyutils1:amd64 1.6.3-6
2026-03-10 22:31:50 install libkrb5-3:amd64 <none> 1.21.3-5
2026-03-10 22:31:50 status half-installed libkrb5-3:amd64 1.21.3-5
2026-03-10 22:31:50 status unpacked libkrb5-3:amd64 1.21.3-5
2026-03-10 22:31:50 install libgssapi-krb5-2:amd64 <none> 1.21.3-5
2026-03-10 22:31:50 status half-installed libgssapi-krb5-2:amd64 1.21.3-5
2026-03-10 22:31:50 status unpacked libgssapi-krb5-2:amd64 1.21.3-5
2026-03-10 22:31:50 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg1-9
2026-03-10 22:31:50 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2026-03-10 22:31:50 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2026-03-10 22:31:50 install libsasl2-2:amd64 <none> 2.1.28+dfsg1-9
2026-03-10 22:31:50 status half-installed libsasl2-2:amd64 2.1.28+dfsg1-9
2026-03-10 22:31:50 status unpacked libsasl2-2:amd64 2.1.28+dfsg1-9
2026-03-10 22:31:50 install libldap2:amd64 <none> 2.6.10+dfsg-1
2026-03-10 22:31:50 status half-installed libldap2:amd64 2.6.10+dfsg-1
2026-03-10 22:31:50 status unpacked libldap2:amd64 2.6.10+dfsg-1
2026-03-10 22:31:50 install libnghttp2-14:amd64 <none> 1.64.0-1.1
2026-03-10 22:31:50 status half-installed libnghttp2-14:amd64 1.64.0-1.1
2026-03-10 22:31:50 status unpacked libnghttp2-14:amd64 1.64.0-1.1
2026-03-10 22:31:50 install libnghttp3-9:amd64 <none> 1.8.0-1
2026-03-10 22:31:50 status half-installed libnghttp3-9:amd64 1.8.0-1
2026-03-10 22:31:50 status unpacked libnghttp3-9:amd64 1.8.0-1
2026-03-10 22:31:50 install libngtcp2-16:amd64 <none> 1.11.0-1
2026-03-10 22:31:50 status half-installed libngtcp2-16:amd64 1.11.0-1
2026-03-10 22:31:51 status unpacked libngtcp2-16:amd64 1.11.0-1
2026-03-10 22:31:51 install libngtcp2-crypto-gnutls8:amd64 <none> 1.11.0-1
2026-03-10 22:31:51 status half-installed libngtcp2-crypto-gnutls8:amd64 1.11.0-1
2026-03-10 22:31:51 status unpacked libngtcp2-crypto-gnutls8:amd64 1.11.0-1
2026-03-10 22:31:51 install libpsl5t64:amd64 <none> 0.21.2-1.1+b1
2026-03-10 22:31:51 status half-installed libpsl5t64:amd64 0.21.2-1.1+b1
2026-03-10 22:31:51 status unpacked libpsl5t64:amd64 0.21.2-1.1+b1
2026-03-10 22:31:51 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b5
2026-03-10 22:31:51 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-03-10 22:31:51 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-03-10 22:31:51 install libssh2-1t64:amd64 <none> 1.11.1-1
2026-03-10 22:31:51 status half-installed libssh2-1t64:amd64 1.11.1-1
2026-03-10 22:31:51 status unpacked libssh2-1t64:amd64 1.11.1-1
2026-03-10 22:31:51 install libcurl3t64-gnutls:amd64 <none> 8.14.1-2+deb13u2
2026-03-10 22:31:51 status half-installed libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2
2026-03-10 22:31:51 status unpacked libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2
2026-03-10 22:31:51 install libreadline8t64:amd64 <none> 8.2-6
2026-03-10 22:31:51 status half-installed libreadline8t64:amd64 8.2-6
2026-03-10 22:31:51 status unpacked libreadline8t64:amd64 8.2-6
2026-03-10 22:31:51 install gnupg1:amd64 <none> 1.4.23-3
2026-03-10 22:31:51 status half-installed gnupg1:amd64 1.4.23-3
2026-03-10 22:31:51 status unpacked gnupg1:amd64 1.4.23-3
2026-03-10 22:31:51 startup packages configure
2026-03-10 22:31:51 configure libkeyutils1:amd64 1.6.3-6 <none>
2026-03-10 22:31:51 status unpacked libkeyutils1:amd64 1.6.3-6
2026-03-10 22:31:51 status half-configured libkeyutils1:amd64 1.6.3-6
2026-03-10 22:31:51 status installed libkeyutils1:amd64 1.6.3-6
2026-03-10 22:31:51 configure libgpg-error0:amd64 1.51-4 <none>
2026-03-10 22:31:51 status unpacked libgpg-error0:amd64 1.51-4
